name,brand,category,price,price_source(real/danawa/estimated),claim_type,kcal,sugar_g,carb_g,protein_g,fat_g,sodium_mg,serving_size,serving_unit,sweeteners(쉼표구분),sweetener_amounts(이름:g),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL),_src
[펄스랩] 한입 쏙 후무스 (캐슈넛),,주식/면류,6500,real,,239,4.64,33.21,11.07,8.21,443.0,,,,,"*대두, 밀 함유 
*이 제품은 알류, 우유, 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 쇠고기, 오징어, 조개류, 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습",20,https://product-image.kurly.com/product/image/fbc2da28-528c-4a55-a10c-f80c9858353b.jpg,,https://www.kurly.com/goods/1001485571,kurly
[믹솔로지] 스모키 얼그레이 시럽 1L,,조미료/소스,14500,real,,321,76.35,80.05,0.21,0.0,208.0,,,,,"- 우유, 땅콩, 대두, 복숭아, 토마토, 호두, 아황산류 혼입가능",20,https://product-image.kurly.com/product/image/94f42a30-0b66-4601-9679-1d98007303bd.jpg,,https://www.kurly.com/goods/1000044557,kurly
[드니그리스] 유기농 애플사이다비니거 글레이즈 250mL,,음료,11580,real,,0,0.0,0.0,0.0,0.0,2.0,,,,,,20,https://product-image.kurly.com/product/image/942bbc29-6b9d-450a-990e-0ec4dd1f8f6a.jpg,,https://www.kurly.com/goods/1000621256,kurly
티바인 알룰로스 바닐라 라이트 (400g),,조미료/소스,8700,real,무첨가당,272,0.0,67.74,0.01,0.11,6.0,,,알룰로스,,,20,https://oasisprodproduct.edge.naverncp.com/76300/thumb/999,,https://www.oasis.co.kr/product/detail/76300,oasis
티바인 알룰로스 헤이즐넛 (400g),,조미료/소스,8700,real,무첨가당,272,0.0,67.74,0.01,0.11,6.0,,,알룰로스,,,20,https://oasisprodproduct.edge.naverncp.com/76301/thumb/999,,https://www.oasis.co.kr/product/detail/76301,oasis
티바인 알룰로스 메이플 (400g),,조미료/소스,8400,real,무첨가당,272,0.0,67.74,0.01,0.11,6.0,,,알룰로스,,,20,https://oasisprodproduct.edge.naverncp.com/81781/thumb/999,,https://www.oasis.co.kr/product/detail/81781,oasis
티바인 성분 좋은 알룰로스 요리용 (400g),,조미료/소스,6900,real,무첨가당,25,2.0,72.0,0.0,0.0,0.0,,,알룰로스,,,20,https://oasisprodproduct.edge.naverncp.com/76299/thumb/999,,https://www.oasis.co.kr/product/detail/76299,oasis
기름제로 옥수수칩,,기타,2250,real,무당류,388,0.4,84.34,8.0,2.1,107.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/107665/thumb/999,,https://www.oasis.co.kr/product/detail/107665,oasis
[우리아이안심먹거리] 잇밋 제로 소시지 (250g),,육가공품,6790,real,무당류,196,0.25,4.62,14.06,13.43,342.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/103445/thumb/999,,https://www.oasis.co.kr/product/detail/103445,oasis
마이노멀 저당 드레싱 (오리엔탈/유자/참깨흑임자/시저),,조미료/소스,7100,real,저당류,316,0.29,14.29,1.96,34.09,524.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/100894/thumb/999,,https://www.oasis.co.kr/product/detail/100894,oasis
고맙당 저당 쌈장 (250g),,조미료/소스,11870,real,저당류,197,1.0,34.0,9.0,4.1,2009.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/104966/thumb/999,,https://www.oasis.co.kr/product/detail/104966,oasis
고맙당 저당 불닭소스 (180g),,조미료/소스,9650,real,저당류,147,2.0,48.0,3.0,10.0,1688.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/104973/thumb/999,,https://www.oasis.co.kr/product/detail/104973,oasis
고맙당 저당 초고추장 (270g),,조미료/소스,10800,real,저당류,83,3.0,21.0,4.0,2.0,2296.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/104967/thumb/999,,https://www.oasis.co.kr/product/detail/104967,oasis
나랑드사이다 제로 오리지날,,음료,6900,real,무당류,0,0.0,0.0,0.0,0.0,18.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/57899/thumb/999,,https://www.oasis.co.kr/product/detail/57899,oasis
초코헬스 제로넛츠 아몬드 2종,,간식/디저트,7900,real,무당류,535,0.0,46.46,11.36,38.89,21.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/102612/thumb/999,,https://www.oasis.co.kr/product/detail/102612,oasis
초코헬스 말차넛츠 박스,,간식/디저트,17700,real,,498,6.79,52.23,10.49,34.19,68.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/91576/thumb/999,,https://www.oasis.co.kr/product/detail/91576,oasis
초코헬스 저당 프레첼초코볼,,간식/디저트,6990,real,저당류,390,3.78,63.51,6.43,23.99,253.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/107552/thumb/999,,https://www.oasis.co.kr/product/detail/107552,oasis
[특가] 초코헬스 저당 말차넛츠 아몬드 2종,,간식/디저트,8900,real,저당류,481,2.79,51.11,11.54,30.83,39.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/114963/thumb/999,,https://www.oasis.co.kr/product/detail/114963,oasis
초코헬스 제로넛츠 박스,,간식/디저트,16900,real,무당류,535,0.0,46.46,11.36,38.89,21.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/86538/thumb/999,,https://www.oasis.co.kr/product/detail/86538,oasis
오뚜기 국산 옛날 사리 당면 (100g),,기타,2730,real,,360,2.0,86.0,0.0,2.0,15.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/101882/thumb/999,,https://www.oasis.co.kr/product/detail/101882,oasis
초코헬스 벨기에 저당 마카다미아 초코볼,,간식/디저트,7900,real,저당류,556,2.98,47.68,7.28,42.04,37.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/118756/thumb/999,,https://www.oasis.co.kr/product/detail/118756,oasis
동아오츠카 나랑드사이다 345ml x 24캔 제로 음료,,음료,12990,real,무당류,0,0.0,0.0,0.0,0.0,18.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/121380/thumb/999,,https://www.oasis.co.kr/product/detail/121380,oasis
동아오츠카 나랑드사이다 1.25L X 12개  제로사이다 음료,,음료,13990,real,무당류,0,0.0,0.0,0.0,0.0,18.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/121381/thumb/999,,https://www.oasis.co.kr/product/detail/121381,oasis
동아오츠카 나랑드사이다 180ml X 30캔  제로사이다 음료,,음료,13280,real,무당류,0,0.0,0.0,0.0,0.0,18.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/121383/thumb/999,,https://www.oasis.co.kr/product/detail/121383,oasis
[정기배송] 빈크런치 땅콩버터 오리지널,,유제품,16500,real,,560,3.5,25.3,32.1,37.2,161.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/71390/thumb/999,,https://www.oasis.co.kr/product/detail/71390,oasis
[토종마을]HACCP인증 알파CD 알파시클로덱스트린 제로 파우더 180g,,기타,12500,real,무당류,365,0.7,96.7,0.2,0.0,2.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/107885/thumb/999,,https://www.oasis.co.kr/product/detail/107885,oasis
넛츠그린 제로스파클링 자몽&복숭아블랙티 340ml (6병/12병),,음료,6800,real,무당류,1,0.0,0.08,0.05,0.01,0.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/126377/thumb/999,,https://www.oasis.co.kr/product/detail/126377,oasis
"위드잇 제로 우리쌀면 33g X 10개입, 글루텐프리",,기타,19800,real,무당류,350,0.0,80.38,6.95,0.1,194.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/126336/thumb/999,,https://www.oasis.co.kr/product/detail/126336,oasis
웰그린 프리미엄 스테비아 커피믹스 / 당류제로 25칼로리,,음료,32900,real,무당류,303,0.0,73.74,0.0,14.14,354.0,,,스테비아,,,20,https://oasisprodproduct.edge.naverncp.com/119038/thumb/999,,https://www.oasis.co.kr/product/detail/119038,oasis
네이쳐키즈 오트 아몬드&호두 (140ml*24개입),,기타,24900,real,,69,6.43,7.86,1.43,3.57,93.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/108191/thumb/999,,https://www.oasis.co.kr/product/detail/108191,oasis
더해담 180일 저당고추장 160g,,조미료/소스,9900,real,저당류,202,3.0,39.0,6.0,2.4,2320.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/131927/thumb/999,,https://www.oasis.co.kr/product/detail/131927,oasis
스프라우드 완두콩드링크 바리스타 제로 1L,,음료,6900,real,무당류,35,0.0,0.0,2.0,3.0,52.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/110929/thumb/999,,https://www.oasis.co.kr/product/detail/110929,oasis
넛두리 100% 알룰로스분말 400g 1kg 제로칼로리,,조미료/소스,6200,real,무당류,0,0.0,0.4,0.0,0.0,0.0,,,알룰로스,,,20,https://oasisprodproduct.edge.naverncp.com/102520/thumb/999,,https://www.oasis.co.kr/product/detail/102520,oasis
마이노멀 저당 저칼로리 애플시나몬잼 (320g),,조미료/소스,10900,real,저당류,250,61.0,61.0,1.0,0.3,10.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/100913/thumb/999,,https://www.oasis.co.kr/product/detail/100913,oasis
마이노멀 엑스트라버진 올리브오일 마요네즈 (260g),,조미료/소스,9980,real,,830,0.0,0.0,0.0,92.0,0.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/71444/thumb/999,,https://www.oasis.co.kr/product/detail/71444,oasis
마이노멀 저당 저칼로리 블루베리잼 (320g),,조미료/소스,10900,real,저당류,26,5.83,49.46,0.44,0.02,4.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/100892/thumb/999,,https://www.oasis.co.kr/product/detail/100892,oasis
[저당]닭가슴살 야채볶음밥 도시락,,육가공품,7500,real,저당류,158,0.4,27.2,9.6,1.16,168.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/105697/thumb/999,,https://www.oasis.co.kr/product/detail/105697,oasis
마이노멀 저당 저칼로리 케찹 (310g),,기타,4980,real,저당류,32,4.02,21.74,2.0,0.11,1143.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/71443/thumb/999,,https://www.oasis.co.kr/product/detail/71443,oasis
[저당]닭가슴살 불고기맛볶음밥 도시락,,육가공품,8700,real,저당류,160,2.5,28.5,4.5,3.0,260.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/105696/thumb/999,,https://www.oasis.co.kr/product/detail/105696,oasis
[저당]닭가슴살 김치볶음밥 도시락,,육가공품,8700,real,저당류,160,1.5,26.5,6.5,3.0,220.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/105698/thumb/999,,https://www.oasis.co.kr/product/detail/105698,oasis
